beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url
B;Hamburg;;HAM;2;2E;10147;Hamburg Arpt;[{'id': '15/33', 'dimension': '12024x150', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['15', '33'], 'length': 12024, 'width': '150', 'TORA': None, 'TODA': None, 'ASDA': '12024', 'LDA': None, '15': {'latlon': [53.657222222222224, 9.980833333333333], 'elevation': '53', 'heading': '150', 'displaced threshold': ''}, '33': {'latlon': [53.63666666666667, 10.006944444444443], 'elevation': '35', 'heading': '330', 'displaced threshold': '1463 Feet'}, 'dimension2': ['12028 x 151 feet', '3666 x 46 meters'], 'slope': 0, 'properties': None}, {'id': '05/23', 'dimension': '10663x150', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['05', '23'], 'length': 10663, 'width': '150', 'TORA': None, 'TODA': None, 'ASDA': '10663', 'LDA': None, '05': {'latlon': [53.62222222222222, 9.9675], 'elevation': '32', 'heading': '048', 'displaced threshold': '978 Feet'}, '23': {'latlon': [53.63777777777778, 10.010555555555555], 'elevation': '43', 'heading': '228', 'displaced threshold': '512 Feet'}, 'dimension2': ['10663 x 151 feet', '3250 x 46 meters'], 'slope': 0, 'properties': None}];Hamburg Airport;53.6318;;Germany;EDDH;2;11.0;L;9.9951;ARP;Intl;HH;Europe/Berlin;public;Hamburg;0;123;Hamburg (EDDH);DE;;;53.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDH&format=json;https://en.wikipedia.org/wiki/Hamburg_Airport;https://www.hamburg-airport.de/en;https://geohack.toolforge.org/geohack.php?pagename=Hamburg_Airport&params=53_37_49_N_009_59_28_E_region:DE_type:airport;https://upload.wikimedia.org/wikipedia/commons/9/9b/Hamburg_airport_terminals.jpg;
B;Cologne;;CGN;3;1E;10513;Koln-Bonn Arpt;[{'id': '14L/32R', 'dimension': '12517x197', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['14L', '32R'], 'length': 12517, 'width': '197', 'TORA': None, 'TODA': None, 'ASDA': '12517', 'LDA': None, '14L': {'latlon': [50.889722222222225, 7.1372222222222215], 'elevation': '230', 'heading': '136', 'displaced threshold': None}, '32R': {'latlon': [50.85861111111111, 7.176111111111111], 'elevation': '302', 'heading': '316', 'displaced threshold': None}, 'dimension2': ['12516 x 197 feet', '3815 x 60 meters'], 'slope': 0.58, 'properties': None}, {'id': '06/24', 'dimension': '8067x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['06', '24'], 'length': 8067, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '8067', 'LDA': None, '06': {'latlon': [50.86694444444445, 7.128611111111111], 'elevation': '231', 'heading': '063', 'displaced threshold': None}, '24': {'latlon': [50.87166666666667, 7.158888888888889], 'elevation': '272', 'heading': '243', 'displaced threshold': None}, 'dimension2': ['8068 x 148 feet', '2459 x 45 meters'], 'slope': 0.51, 'properties': None}, {'id': '14R/32L', 'dimension': '6113x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['14R', '32L'], 'length': 6113, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '6113', 'LDA': None, '14R': {'latlon': [50.87361111111111, 7.123611111111111], 'elevation': '221', 'heading': '136', 'displaced threshold': None}, '32L': {'latlon': [50.86416666666667, 7.142222222222222], 'elevation': '259', 'heading': '316', 'displaced threshold': None}, 'dimension2': ['6112 x 148 feet', '1863 x 45 meters'], 'slope': 0.62, 'properties': None}];Koln/Bonn Airport;50.8676;;Germany;EDDK;4;8.0;L;7.1345;ARP;Intl;NT;Europe/Berlin;public;Nordrhein-Westfalen;0;149;Cologne (EDDK);DE;;;302.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDK&format=json;https://en.wikipedia.org/wiki/Cologne_Bonn_Airport;http://cologne-bonn-airport.com;https://geohack.toolforge.org/geohack.php?pagename=Cologne_Bonn_Airport&params=50_51_57_N_7_8_34_E_type:airport_region:DE-NW;https://upload.wikimedia.org/wikipedia/commons/d/d8/Arial_View_CGN_EDDK.jpg;
B;Dusseldorf;;DUS;2;1E;10400;Düsseldorf Intl;[{'id': '05R/23L', 'dimension': '9843x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['05R', '23L'], 'length': 9843, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '9843', 'LDA': None, '05R': {'latlon': [51.29083333333333, 6.7588888888888885], 'elevation': '121', 'heading': '051', 'displaced threshold': '984 Feet'}, '23L': {'latlon': [51.30166666666666, 6.793611111111111], 'elevation': '138', 'heading': '231', 'displaced threshold': '984 Feet'}, 'dimension2': ['9843 x 148 feet', '3000 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '05L/23R', 'dimension': '8859x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['05L', '23R'], 'length': 8859, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '8859', 'LDA': None, '05L': {'latlon': [51.28666666666666, 6.753611111111111], 'elevation': '116', 'heading': '052', 'displaced threshold': '984 Feet'}, '23R': {'latlon': [51.30555555555556, 6.7825], 'elevation': '124', 'heading': '232', 'displaced threshold': '984 Feet'}, 'dimension2': ['8858 x 148 feet', '2700 x 45 meters'], 'slope': 0, 'properties': None}];Dusseldorf Airport;51.283;;Germany;EDDL;3;16.0;L;6.7613;ARP;Intl;NT;Europe/Berlin;public;Nordrhein-Westfalen;0;75;Dusseldorf (EDDL);DE;;;147.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDL&format=json;;;;;
B;Munich;;MUC;2;3E;10866;Munich Intl;[{'id': '08L/26R', 'dimension': '13123x197', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['08L', '26R'], 'length': 13123, 'width': '197', 'TORA': None, 'TODA': None, 'ASDA': '13123', 'LDA': None, '08L': {'latlon': [48.37138888888889, 11.768055555555556], 'elevation': '1467', 'heading': '081', 'displaced threshold': None}, '26R': {'latlon': [48.36694444444444, 11.824166666666667], 'elevation': '1449', 'heading': '261', 'displaced threshold': None}, 'dimension2': ['13123 x 197 feet', '4000 x 60 meters'], 'slope': 0, 'properties': None}, {'id': '08R/26L', 'dimension': '13123x197', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['08R', '26L'], 'length': 13123, 'width': '197', 'TORA': None, 'TODA': None, 'ASDA': '13123', 'LDA': None, '08R': {'latlon': [48.345555555555556, 11.751666666666667], 'elevation': '1486', 'heading': '081', 'displaced threshold': None}, '26L': {'latlon': [48.3525, 11.807777777777778], 'elevation': '1470', 'heading': '261', 'displaced threshold': None}, 'dimension2': ['13123 x 197 feet', '4000 x 60 meters'], 'slope': 0, 'properties': None}];Muenchen Airport;48.354;;Germany;EDDM;2;31.0;L;11.788;ARP;Intl;BY;Europe/Berlin;public;Bayern;0;23;Munich (EDDM);DE;;;1487.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDM&format=json;;;;;
;Nuremberg;;NUE;1;;10763;Nurnberg Arpt;[{'id': '10/28', 'dimension': '8858x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['10', '28'], 'length': 8858, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '8858', 'LDA': None, '10': {'latlon': [49.50083333333333, 11.065277777777778], 'elevation': '1022', 'heading': '096', 'displaced threshold': None}, '28': {'latlon': [49.50611111111111, 11.104444444444445], 'elevation': '1046', 'heading': '276', 'displaced threshold': None}, 'dimension2': ['8858 x 148 feet', '2700 x 45 meters'], 'slope': 0, 'properties': None}];Nurnberg Airport;49.4979;;Germany;EDDN;3;0.0;L;11.0813;ARP;Intl;BY;Europe/Berlin;public;Bayern;0;650;Nuremberg (EDDN);DE;;;2.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDN&format=json;https://en.wikipedia.org/wiki/Nuremberg_Airport;http://www.airport-nuernberg.de;https://geohack.toolforge.org/geohack.php?pagename=Nuremberg_Airport&params=49_29_55_N_011_04_41_E_type:airport_region:DE&title=Nuremberg+Airport;https://upload.wikimedia.org/wikipedia/commons/7/7a/NUE_Flughafen_Nuernberg_Luftaufnahme_2009.jpg;
;Leipzig;;LEJ;2;;10469;Leipzig/Halle Arpt;[{'id': '08R/26L', 'dimension': '11811x197', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['08R', '26L'], 'length': 11811, 'width': '197', 'TORA': None, 'TODA': None, 'ASDA': '11811', 'LDA': None, '08R': {'latlon': [51.419444444444444, 12.207777777777777], 'elevation': '428', 'heading': '083', 'displaced threshold': None}, '26L': {'latlon': [51.42333333333333, 12.260277777777778], 'elevation': '470', 'heading': '263', 'displaced threshold': None}, 'dimension2': ['11811 x 197 feet', '3600 x 60 meters'], 'slope': 0, 'properties': None}, {'id': '08L/26R', 'dimension': '11811x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['08L', '26R'], 'length': 11811, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '11811', 'LDA': None, '08L': {'latlon': [51.44083333333333, 12.226388888888888], 'elevation': '418', 'heading': '083', 'displaced threshold': None}, '26R': {'latlon': [51.43388888888889, 12.268055555555556], 'elevation': '448', 'heading': '263', 'displaced threshold': None}, 'dimension2': ['11811 x 148 feet', '3600 x 45 meters'], 'slope': 0, 'properties': None}];Leipzig/Halle Airport;51.4186;;Germany;EDDP;3;0.0;L;12.2277;ARP;Intl;SN;Europe/Berlin;public;Saxony;0;651;Leipzig (EDDP);DE;;;465.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDP&format=json;;;;;
;Saarbrucken;;SCN;1;;10708;Saarbrücken Arpt;[{'id': '09/27', 'dimension': '6529x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 6529, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '6529', 'LDA': None, '09': {'latlon': [49.22361111111111, 7.106388888888889], 'elevation': '1024', 'heading': '086', 'displaced threshold': '197 Feet'}, '27': {'latlon': [49.225, 7.12611111111111], 'elevation': '1058', 'heading': '266', 'displaced threshold': '295 Feet'}, 'dimension2': ['6529 x 148 feet', '1990 x 45 meters'], 'slope': 0.52, 'properties': None}];Saarbrucken Airport;49.215;;Germany;EDDR;4;0.0;M;7.1128;ARP;Intl;SL;Europe/Berlin;public;Saarland;0;652;Saarbrucken (EDDR);DE;;;1058.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDR&format=json;https://en.wikipedia.org/wiki/Saarbrücken_Airport;http://www.flughafen-saarbruecken.de/;https://geohack.toolforge.org/geohack.php?pagename=Saarbr%C3%BCcken_Airport&params=49_12_52_N_07_06_34_E_type:airport;;
B;Stuttgart;;STR;1;2E;10738;Stuttgart Arpt;[{'id': '07/25', 'dimension': '10974x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['07', '25'], 'length': 10974, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '10974', 'LDA': None, '07': {'latlon': [48.68861111111111, 9.206666666666665], 'elevation': '1267', 'heading': '072', 'displaced threshold': '984 Feet'}, '25': {'latlon': [48.70111111111111, 9.250833333333333], 'elevation': '1181', 'heading': '252', 'displaced threshold': ''}, 'dimension2': ['10974 x 148 feet', '3345 x 45 meters'], 'slope': -0.78, 'properties': None}];Stuttgart Airport;48.6897;;Germany;EDDS;3;7.0;L;9.2161;ARP;Intl;BW;Europe/Berlin;public;Baden-Württemberg;0;183;Stuttgart (EDDS);DE;;;2.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDS&format=json;https://en.wikipedia.org/wiki/Stuttgart_Airport;http://www.stuttgart-airport.com;https://geohack.toolforge.org/geohack.php?pagename=Stuttgart_Airport&params=48_41_24_N_009_13_19_E_region:DE-BW_type:airport;https://upload.wikimedia.org/wikipedia/commons/a/af/Luftbild_EDDS_edit.jpg;
;Berlin;;TXL;;;10382;Berlin/Tegel Arpt;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [52.5597000122, 13.2876996994], 'elevation': 122.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Berlin-Tegel International Airport;52.5597000122;;Germany;EDDT;6;;;13.2876996994;;;BE;Europe/Berlin;;Berlin;;;Berlin (EDDT);DE;;;122.0;False;False;False;;;;;;;;;;;;;;;;;
;Hannover;;HAJ;2;;10338;Hannover Arpt;[{'id': '09L/27R', 'dimension': '10499x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['09L', '27R'], 'length': 10499, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '10499', 'LDA': None, '09L': {'latlon': [52.469166666666666, 9.654444444444445], 'elevation': '167', 'heading': '090', 'displaced threshold': None}, '27R': {'latlon': [52.467222222222226, 9.710555555555556], 'elevation': '169', 'heading': '270', 'displaced threshold': None}, 'dimension2': ['10499 x 148 feet', '3200 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '09R/27L', 'dimension': '7677x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['09R', '27L'], 'length': 7677, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '7677', 'LDA': None, '09R': {'latlon': [52.458333333333336, 9.68361111111111], 'elevation': '172', 'heading': '090', 'displaced threshold': None}, '27L': {'latlon': [52.45666666666667, 9.71861111111111], 'elevation': '179', 'heading': '270', 'displaced threshold': None}, 'dimension2': ['7677 x 148 feet', '2340 x 45 meters'], 'slope': 0, 'properties': None}];Hannover Airport;52.4607;;Germany;EDDV;3;0.0;L;9.6896;ARP;Intl;NI;Europe/Berlin;public;Niedersachsen;0;653;Hannover (EDDV);DE;;;183.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDV&format=json;;;;;
;Bremen;;BRE;1;;10224;Bremen Arpt;[{'id': '09/27', 'dimension': '6693x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 6693, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '6693', 'LDA': None, '09': {'latlon': [53.055277777777775, 8.779722222222222], 'elevation': '13', 'heading': '086', 'displaced threshold': None}, '27': {'latlon': [53.056666666666665, 8.808055555555557], 'elevation': '14', 'heading': '266', 'displaced threshold': None}, 'dimension2': ['6693 x 148 feet', '2040 x 45 meters'], 'slope': 0, 'properties': None}];Bremen Airport;53.0478;;Germany;EDDW;3;0.0;M;8.7868;ARP;Intl;HB;Europe/Berlin;public;Bremen;0;654;Bremen (EDDW);DE;;;14.0;True;True;True;;;;;;;;;;;;https://aviationweather.gov/api/data/airport?ids=EDDW&format=json;https://en.wikipedia.org/wiki/Bremen_Airport;https://www.bremen-airport.com/;https://geohack.toolforge.org/geohack.php?pagename=Bremen_Airport&params=53_02_51_N_008_47_12_E_region:DE_type:airport;https://upload.wikimedia.org/wikipedia/commons/a/ac/FlughafenBremen-01.jpg;
;Bad Langensalza;;;;;;;[{'id': '09/27', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 2000, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '2000', 'LDA': None, '09': {'latlon': [51.1291656494, 10.6222219467], 'elevation': 650.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [51.1291656494, 10.6222219467], 'elevation': 650.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Bad Langensalza Airport;51.1291656494;;Germany;EDEB;;;;10.6222219467;;;;Europe/Berlin;public;Thuringia;;;Bad Langensalza (EDEB);DE;;;980.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Bad_Langensalza_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=Bad_Langensalza_Airfield&params=51_07_46_N_010_37_18_E_region:DE_type:airport;https://upload.wikimedia.org/wikipedia/commons/c/cb/Aerial_image_of_the_Bad_Langensalza_airfield.jpg;
;Babenhausen;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.9524993896, 8.9680557251], 'elevation': 928.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Babenhausen Airport;49.9524993896;;Germany;EDEF;;;;8.9680557251;;;;Europe/Berlin;public;Hesse;;;Babenhausen (EDEF);DE;;;928.0;False;False;False;;;;;;;;;;;;;;;;;
;Gotha;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.9700012207, 10.7277784348], 'elevation': 991.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Gotha-Ost Airport;50.9700012207;;Germany;EDEG;;;;10.7277784348;;;;Europe/Berlin;public;Thuringia;;;Gotha (EDEG);DE;;;991.0;False;False;False;;;;;;;;;;;;;;;;;
;Hockenheim;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.3450012207, 8.48777771], 'elevation': 308.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Herrenteich Airport;49.3450012207;;Germany;EDEH;;;;8.48777771;;;;Europe/Berlin;public;Baden-Württemberg;;;Hockenheim (EDEH);DE;;;308.0;False;False;False;;;;;;;;;;;;;;;;;
;Langenlonsheim;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.9083328247, 7.9077777863], 'elevation': 295.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Langenlonsheim Airport;49.9083328247;;Germany;EDEL;;;;7.9077777863;;;;Europe/Berlin;public;Rheinland-Pfalz;;;Langenlonsheim (EDEL);DE;;;295.0;False;False;False;;;;;;;;;;;;;;;;;
;Homburg;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.0627784729, 9.4222221375], 'elevation': 1296.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Mosenberg Airport;51.0627784729;;Germany;EDEM;;;;9.4222221375;;;;Europe/Berlin;public;Hesse;;;Homburg (EDEM);DE;;;1296.0;False;False;False;;;;;;;;;;;;;;;;;
;Heppenheim;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.6219444275, 8.6244440079], 'elevation': 361.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Heppenheim Airport;49.6219444275;;Germany;EDEP;;;;8.6244440079;;;;Europe/Berlin;public;Hesse;;;Heppenheim (EDEP);DE;;;361.0;False;False;False;;;;;;;;;;;;;;;;;
;Muhlhausen;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [51.213054657, 10.5486106873], 'elevation': 814.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Muhlhausen Airport;51.213054657;;Germany;EDEQ;;;;10.5486106873;;;;Europe/Berlin;public;Thuringia;;;Muhlhausen (EDEQ);DE;;;814.0;False;False;False;;;;;;;;;;;;;;;;;
;Gersfeld;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.4988899231, 9.9538888931], 'elevation': 2956.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Wasserkuppe Airport;50.4988899231;;Germany;EDER;;;;9.9538888931;;;;Europe/Berlin;public;Hesse;;;Gersfeld (EDER);DE;;;2956.0;False;False;False;;;;;;;;;;;;;;;;;
;Walldurn;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.5816688538, 9.4022216797], 'elevation': 1312.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Walldurn Airport;49.5816688538;;Germany;EDEW;;;;9.4022216797;;;;Europe/Berlin;public;Baden-Württemberg;;;Walldurn (EDEW);DE;;;1312.0;False;False;False;;;;;;;;;;;;;;;;;
;Anspach;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.2883338928, 8.5338888168], 'elevation': 1102.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Anspach/Taunus Airport;50.2883338928;;Germany;EDFA;;;;8.5338888168;;;;Europe/Berlin;public;Hesse;;;Anspach (EDFA);DE;;;1102.0;False;False;False;;;;;;;;;;;;;;;;;
;Reichelsheim;;;;;;;[{'id': '18/36', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['18', '36'], 'length': 4265, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '4265', 'LDA': None, '18': {'latlon': [50.3358345032, 8.8780555725], 'elevation': 397.0, 'heading': '18', 'displaced threshold': None}, '36': {'latlon': [50.3358345032, 8.8780555725], 'elevation': 397.0, 'heading': '36', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '09/27', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 820, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '820', 'LDA': None, '09': {'latlon': [50.3358345032, 8.8780555725], 'elevation': 397.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [50.3358345032, 8.8780555725], 'elevation': 397.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Reichelsheim Airport;50.3358345032;;Germany;EDFB;;;;8.8780555725;;;;Europe/Berlin;public;Hesse;;;Reichelsheim (EDFB);DE;;;398.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Reichelsheim_Airport;http://www.reichelsheim-airport.de/;https://geohack.toolforge.org/geohack.php?pagename=Reichelsheim_Airport&params=50_20_9_N_8_52_51_E_region:DE_type:airport;https://upload.wikimedia.org/wikipedia/commons/8/8a/Aerial_image_of_the_Reichelsheim_airfield.jpg;
;Aschaffenburg;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [49.9388885498, 9.0638885498], 'elevation': 410.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Aschaffenburg Airport;49.9388885498;;Germany;EDFC;;;;9.0638885498;;;;Europe/Berlin;public;Bayern;;;Aschaffenburg (EDFC);DE;;;410.0;False;False;False;;;;;;;;;;;;;;;;;
;Bad Neustadt a.d.Saale;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.3061103821, 10.2266674042], 'elevation': 997.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Bad Neustadt/Saale-Grasberg Airport;50.3061103821;;Germany;EDFD;;;;10.2266674042;;;;Europe/Berlin;public;Bayern;;;Bad Neustadt a.d.Saale (EDFD);DE;;;997.0;False;False;False;;;;;;;;;;;;;;;;;
;Egelsbach;;;;;;Egelsbach Arpt;[{'id': '08/26', 'dimension': '', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['08', '26'], 'length': 4593, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '4593', 'LDA': None, '08': {'latlon': [49.967222222222226, 8.641944444444444], 'elevation': '385', 'heading': '084', 'displaced threshold': ''}, '26': {'latlon': [49.968611111111116, 8.657777777777778], 'elevation': '385', 'heading': '264', 'displaced threshold': '768 Feet'}, 'dimension2': ['4593 x 82 feet', '1400 x 25 meters'], 'slope': 0, 'properties': None}];Frankfurt-Egelsbach Airport;49.9599990845;;Germany;EDFE;6;;;8.6458330154;;;HE;Europe/Berlin;public;Hesse;;;Egelsbach (EDFE);DE;;;384.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Frankfurt_Egelsbach_Airport;http://www.egelsbach-airport.com;https://geohack.toolforge.org/geohack.php?pagename=Frankfurt_Egelsbach_Airport&params=49_57_40_N_008_38_37_E_region:DE_type:airport;https://upload.wikimedia.org/wikipedia/commons/9/94/Logo_Airport_Egelsbach.svg;
;Gelnhausen;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.1972236633, 9.1700000763], 'elevation': 446.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Gelnhausen Airport;50.1972236633;;Germany;EDFG;;;;9.1700000763;;;;Europe/Berlin;public;Hesse;;;Gelnhausen (EDFG);DE;;;446.0;False;False;False;;;;;;;;;;;;;;;;;
